epochs, nll-oracle,nll-test,EmbeddingSimilarity,
1,11.181558,7.7165356,-0.02497998599168509,
6,10.786121,7.201946,-0.026254691166074113,
11,10.662846,6.3153086,-0.026569269611554522,
16,10.587089,5.4089575,-0.026064343912475134,
21,10.486629,4.6884813,-0.026664006291781058,
26,10.365392,4.110033,-0.02635521561949403,
31,10.332106,3.687459,-0.02555025759920592,
36,10.264612,3.316064,-0.026075598867076156,
41,10.231377,3.0575867,-0.025901398637079676,
46,10.137121,2.8217757,-0.025193746350082986,
51,10.127766,2.6485646,-0.02570792850079513,
56,10.055873,2.4694166,-0.02527525262426096,
61,10.060756,2.3512022,-0.025533874172937475,
66,9.994608,2.2427592,-0.025236632487413136,
71,9.903378,2.1263275,-0.025639715728505756,
76,9.89371,2.0206082,-0.025736751185870602,
